iter	Passed	Remaining
0	210	210744
1	266	133217
2	314	104528
3	361	90135
4	408	81268
5	454	75356
6	502	71332
7	551	68348
8	600	66081
9	646	63967
10	691	62159
11	736	60599
12	780	59263
13	825	58133
14	872	57300
15	917	56435
16	963	55711
17	1007	54944
18	1051	54293
19	1097	53771
20	1144	53374
21	1190	52911
22	1234	52441
23	1279	52048
24	1325	51702
25	1369	51309
26	1414	50966
27	1459	50673
28	1502	50318
29	1547	50038
30	1590	49730
31	1635	49463
32	1681	49280
33	1725	49027
34	1769	48785
35	1816	48631
36	1860	48413
37	1904	48209
38	1948	48022
39	1993	47851
40	2037	47652
41	2081	47481
42	2126	47320
43	2171	47177
44	2215	47025
45	2261	46904
46	2304	46729
47	2347	46550
48	2391	46406
49	2434	46261
50	2479	46134
51	2523	46002
52	2569	45918
53	2614	45802
54	2659	45691
55	2703	45574
56	2746	45443
57	2792	45355
58	2839	45284
59	2883	45170
60	2927	45063
61	2972	44963
62	3016	44859
63	3063	44803
64	3106	44688
65	3153	44621
66	3197	44521
67	3240	44409
68	3282	44292
69	3330	44243
70	3373	44138
71	3416	44035
72	3458	43919
73	3501	43820
74	3546	43744
75	3591	43666
76	3635	43584
77	3680	43502
78	3724	43421
79	3768	43342
80	3813	43264
81	3856	43170
82	3899	43077
83	3940	42970
84	3985	42902
85	4029	42824
86	4072	42741
87	4116	42661
88	4161	42601
89	4206	42536
90	4251	42467
91	4296	42406
92	4340	42330
93	4382	42236
94	4424	42153
95	4469	42086
96	4514	42023
97	4556	41936
98	4598	41854
99	4642	41778
100	4684	41693
101	4724	41597
102	4767	41520
103	4812	41462
104	4856	41394
105	4901	41336
106	4942	41249
107	4986	41186
108	5031	41127
109	5074	41060
110	5117	40988
111	5163	40936
112	5207	40874
113	5249	40799
114	5293	40737
115	5337	40674
116	5380	40609
117	5425	40555
118	5469	40491
119	5511	40418
120	5552	40339
121	5595	40270
122	5640	40213
123	5682	40141
124	5725	40077
125	5766	40001
126	5811	39946
127	5855	39890
128	5899	39833
129	5944	39779
130	5986	39710
131	6031	39660
132	6075	39602
133	6122	39564
134	6164	39499
135	6206	39427
136	6246	39349
137	6289	39286
138	6330	39215
139	6375	39163
140	6418	39105
141	6463	39053
142	6503	38978
143	6547	38922
144	6590	38863
145	6634	38809
146	6677	38750
147	6722	38699
148	6766	38644
149	6808	38580
150	6852	38528
151	6895	38467
152	6938	38408
153	6981	38351
154	7024	38293
155	7065	38224
156	7110	38181
157	7155	38134
158	7199	38078
159	7243	38028
160	7286	37971
161	7329	37914
162	7372	37857
163	7415	37803
164	7458	37742
165	7503	37696
166	7543	37626
167	7586	37573
168	7628	37512
169	7671	37457
170	7714	37399
171	7757	37346
172	7801	37291
173	7843	37231
174	7886	37177
175	7929	37122
176	7973	37073
177	8014	37012
178	8059	36964
179	8102	36911
180	8143	36848
